#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0
#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
382,Narsapuram,9,,Andhra Pradesh [2014 Onwards],Bhupathi Raju Srinivasa Varma (B.J.P.VARMA),Bharatiya Janta Party,1472923,1230994,83.6 %,276802.0,22.5%
383,Nashik,21,GEN,Maharashtra,Rajabhau (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),2030124,1237204,60.9 %,162001.0,13.1%
384,Navsari,25,GEN,Gujarat,C R Patil,Bharatiya Janta Party,2223550,1338216,60.2 %,773551.0,57.8%
385,Nawada,39,GEN,Bihar [2000 Onwards],Vivek Thakur,Bharatiya Janta Party,2006124,869870,43.4 %,67670.0,7.8%
386,Nellore,22,,Andhra Pradesh [2014 Onwards],Prabhakar Reddy Vemireddy,Telugu Desam,1712274,1375649,80.3 %,245902.0,17.9%
387,New Delhi,4,GEN,Delhi [1977 Onwards],Bansuri Swaraj,Bharatiya Janta Party,1525071,847468,55.6 %,78370.0,9.2%
388,Nilgiris,19,SC,Tamil Nadu,Raja A,Dravida Munnetra Kazhagam,1428387,1018906,71.3 %,240585.0,23.6%
389,Nizamabad,4,GEN,Telangana,Arvind Dharmapuri,Bharatiya Janta Party,1704867,1233581,72.4 %,109241.0,8.9%
390,North East Delhi,2,GEN,Delhi [1977 Onwards],Manoj Tiwari,Bharatiya Janta Party,2463159,1552731,63.0 %,138778.0,8.9%
391,North Goa,1,GEN,Goa,Shripad Yesso Naik,Bharatiya Janta Party,580577,456018,78.6 %,116015.0,25.4%
392,North West Delhi,5,SC,Delhi [1977 Onwards],Yogender Chandoliya,Bharatiya Janta Party,2567423,1487207,57.9 %,290849.0,19.6%
393,Ongole,16,,Andhra Pradesh [2014 Onwards],Magunta Sreenivasulu Reddy,Telugu Desam,1607832,1422214,88.5 %,50199.0,3.5%
394,Osmanabad,40,GEN,Maharashtra,Omprakash Bhupalsinh Alias Pavan Rajenimbalkar,Shiv Sena (Uddhav Balasaheb Thackrey),1992737,1281052,64.3 %,329846.0,25.7%
395,Outer Manipur,2,ST,Manipur,Alfred Kanngam S Arthur,Indian National Congress,1038027,796735,76.8 %,85418.0,10.7%
396,Palakkad,8,GEN,Kerala,V K Sreekandan,Indian National Congress,1398143,1035836,74.1 %,75283.0,7.3%
397,Palamau,13,SC,Jharkhand,Vishnu Dayal Ram,Bharatiya Janta Party,2243034,1390738,62.0 %,288807.0,20.8%
398,Palghar,22,ST,Maharashtra,Dr. Hemant Vishnu Savara,Bharatiya Janta Party,2148514,1376074,64.1 %,183306.0,13.3%
399,Pali,15,GEN,Rajasthan,P. P. Chaudhary,Bharatiya Janta Party,2343232,1353842,57.8 %,245351.0,18.1%
400,Panchmahal,18,GEN,Gujarat,Rajpalsinh Mahendrasinh Jadav,Bharatiya Janta Party,1896743,1131497,59.7 %,509342.0,45.0%
401,Parbhani,17,GEN,Maharashtra,Jadhav Sanjay ( BANDU ) HARIBHAU,Shiv Sena (Uddhav Balasaheb Thackrey),2123056,1331176,62.7 %,134061.0,10.1%
402,Paschim Champaran,2,GEN,Bihar [2000 Onwards],Dr.Sanjay Jaiswal,Bharatiya Janta Party,1756078,1086256,61.9 %,136568.0,12.6%
403,Pataliputra,31,GEN,Bihar [2000 Onwards],Misha Bharti,Rashtriya Janata Dal,2073685,1230099,59.3 %,85174.0,6.9%
404,Patan,3,GEN,Gujarat,Dabhi Bharatsinhji Shankarji,Bharatiya Janta Party,2019916,1193125,59.1 %,31876.0,2.7%
405,Pathanamthitta,17,GEN,Kerala,Anto Antony,Indian National Congress,1429700,919569,64.3 %,66119.0,7.2%
406,Patiala,13,GEN,Punjab,Dr Dharamvira Gandhi,Indian National Congress,1806424,1151743,63.8 %,14831.0,1.3%
407,Patna Sahib,30,GEN,Bihar [2000 Onwards],Ravi Shankar Prasad,Bharatiya Janta Party,2292045,1075496,46.9 %,153846.0,14.3%
408,Peddapalle,2,SC,Telangana,Vamsi Krishna Gaddam,Indian National Congress,1596430,1095295,68.6 %,131364.0,12.0%
409,Perambalur,25,GEN,Tamil Nadu,Arun Nehru,Dravida Munnetra Kazhagam,1446352,1129226,78.0 %,389107.0,34.5%
410,Phulpur,51,GEN,Uttar Pradesh [2000 Onwards],Praveen Patel,Bharatiya Janta Party,2067043,1014824,49.1 %,4332.0,0.4%
411,Pilibhit,26,GEN,Uttar Pradesh [2000 Onwards],Jitin Prasada,Bharatiya Janta Party,1831699,1160947,63.4 %,164935.0,14.2%
412,Pollachi,21,GEN,Tamil Nadu,Eswarasamy K,Dravida Munnetra Kazhagam,1597467,1126045,70.4 %,252042.0,22.4%
413,Ponnani,7,GEN,Kerala,Dr. M.P Abdussamad Samadani,Indian Union Muslim League,1470804,1026296,69.8 %,235760.0,23.0%
414,Porbandar,11,GEN,Gujarat,Dr. Mansukh Mandaviya,Bharatiya Janta Party,1768212,928977,52.5 %,383360.0,41.3%
415,Pratapgarh,39,GEN,Uttar Pradesh [2000 Onwards],Shiv Pal Singh Patel (DR. S P SINGH),Samajwadi Party,1833312,947288,51.7 %,66206.0,7.0%
416,Puducherry,1,GEN,Pondicherry,Ve Vaithilingam,Indian National Congress,1023699,807940,78.9 %,136516.0,16.9%
417,Pune,34,GEN,Maharashtra,Murlidhar Mohol,Bharatiya Janta Party,2061276,1104572,53.6 %,123038.0,11.1%
418,Puri,17,GEN,Orissa,Sambit Patra,Bharatiya Janta Party,1586465,1196938,75.5 %,104709.0,8.7%
419,Purnia,12,GEN,Bihar [2000 Onwards],Rajesh Ranjan Alias Pappu Yadav,Independent,1893698,1195844,63.2 %,23847.0,2.0%
420,Purulia,35,GEN,West Bengal,Jyotirmay Singh Mahato,Bharatiya Janta Party,1823120,1434018,78.7 %,17079.0,1.2%
421,Purvi Champaran,3,GEN,Bihar [2000 Onwards],Radha Mohan Singh,Bharatiya Janta Party,1790761,1073688,60.0 %,88287.0,8.2%
422,Rae Bareli,36,GEN,Uttar Pradesh [2000 Onwards],Rahul Gandhi,Indian National Congress,1784314,1039219,58.2 %,390030.0,37.5%
423,Raichur,6,ST,Karnataka,G. Kumar Naik.,Indian National Congress,2010103,1299619,64.7 %,79781.0,6.1%
424,Raigad,32,GEN,Maharashtra,Tatkare Sunil Dattatrey,Nationalist Congress Party,1668372,1013272,60.7 %,82784.0,8.2%
425,Raiganj,5,GEN,West Bengal,Kartick Chandra Paul,Bharatiya Janta Party,1790245,1368471,76.4 %,68197.0,5.0%
426,Raigarh,2,ST,Chhattisgarh,Radheshyam Rathiya,Bharatiya Janta Party,1838547,1452965,79.0 %,240391.0,16.5%
427,Raipur,8,GEN,Chhattisgarh,Brijmohan Agrawal,Bharatiya Janta Party,2375379,1586755,66.8 %,575285.0,36.3%
428,Rajahmundry,8,,Andhra Pradesh [2014 Onwards],Daggubati Purandheshwari,Bharatiya Janta Party,1623149,1325297,81.7 %,239139.0,18.0%
429,Rajampet,24,,Andhra Pradesh [2014 Onwards],P V Midhun Reddy,Yuvajana Sramika Rythu Congress Party,1665702,1332939,80.0 %,76071.0,5.7%
430,Rajgarh,20,GEN,Madhya Pradesh [2000 Onwards],Rodmal Nagar,Bharatiya Janta Party,1875211,1428997,76.2 %,146089.0,10.2%
431,Rajkot,10,GEN,Gujarat,Parshottambhai Rupala,Bharatiya Janta Party,2112273,1273542,60.3 %,484260.0,38.0%
432,Rajmahal,1,ST,Jharkhand,Vijay Kumar Hansdak,Jharkhand Mukti Morcha,1704671,1218249,71.5 %,178264.0,14.6%
433,Rajnandgaon,6,GEN,Chhattisgarh,Santosh Pandey,Bharatiya Janta Party,1868021,1445765,77.4 %,44411.0,3.1%
434,Rajsamand,22,GEN,Rajasthan,Mahima Kumari Mewar,Bharatiya Janta Party,2060942,1213130,58.9 %,392223.0,32.3%
435,Ramanathapuram,35,GEN,Tamil Nadu,Navaskani K,Indian Union Muslim League,1617688,1109853,68.6 %,166782.0,15.0%
436,Rampur,7,GEN,Uttar Pradesh [2000 Onwards],Mohibbullah,Samajwadi Party,1731836,968079,55.9 %,87434.0,9.0%
437,Ramtek,9,SC,Maharashtra,Shyamkumar (Babalu) Daulat Barve,Indian National Congress,2049085,1252512,61.1 %,76768.0,6.1%
438,Ranaghat,13,SC,West Bengal,Jagannath Sarkar,Bharatiya Janta Party,1871658,1540632,82.0 %,186899.0,12.1%
439,Ranchi,8,GEN,Jharkhand,Sanjay Seth,Bharatiya Janta Party,2197331,1447781,65.9 %,120512.0,8.3%
440,Ratlam,24,ST,Madhya Pradesh [2000 Onwards],Anita Nagarsingh Chouhan,Bharatiya Janta Party,2094548,1532643,73.2 %,207232.0,13.5%
441,Ratnagiri - Si,46,GEN,Maharashtra,Narayan Tatu Rane,Bharatiya Janta Party,1451630,914038,63.0 %,47858.0,5.2%
442,Raver,4,GEN,Maharashtra,Khadse Raksha Nikhil,Bharatiya Janta Party,1821750,1171666,64.3 %,272183.0,23.2%
443,Rewa,10,GEN,Madhya Pradesh [2000 Onwards],Janardan Mishra,Bharatiya Janta Party,1852126,918129,49.5 %,193374.0,21.1%
444,Robertsganj,80,SC,Uttar Pradesh [2000 Onwards],Chhotelal,Samajwadi Party,1779189,1009545,56.7 %,129234.0,12.8%
445,Rohtak,7,GEN,Haryana,Deepender Singh Hooda,Indian National Congress,1889844,1248446,66.0 %,345298.0,27.7%
446,Sabarkantha,5,GEN,Gujarat,Shobhanaben Mahendrasinh Baraiya,Bharatiya Janta Party,1976349,1269358,64.2 %,155682.0,12.3%
447,Sagar,5,GEN,Madhya Pradesh [2000 Onwards],Dr. Lata Wankhede,Bharatiya Janta Party,1745690,1150549,65.9 %,471222.0,41.0%
448,Saharanpur,1,GEN,Uttar Pradesh [2000 Onwards],Imran Masood,Indian National Congress,1855310,1229455,66.3 %,64542.0,5.2%
449,Salem,15,GEN,Tamil Nadu,Selvaganapathi T M,Dravida Munnetra Kazhagam,1658681,1304844,78.7 %,70357.0,5.4%
450,Salempur,71,GEN,Uttar Pradesh [2000 Onwards],Ramashankar Rajbhar,Samajwadi Party,1776982,917362,51.6 %,3573.0,0.4%
451,Samastipur,23,SC,Bihar [2000 Onwards],Shambhavi,Lok Janshakti Party(Ram Vilas),1818530,1094592,60.2 %,187251.0,17.1%
452,Sambalpur,3,GEN,Orissa,Dharmendra Pradhan,Bharatiya Janta Party,1499728,1196747,79.8 %,119836.0,10.0%
453,Sambhal,8,GEN,Uttar Pradesh [2000 Onwards],Zia Ur Rehman,Samajwadi Party,1898202,1194983,63.0 %,121494.0,10.2%
454,Sangli,44,GEN,Maharashtra,Vishal (DADA) PRAKASHBAPU PATIL,Independent,1868174,1168744,62.6 %,100053.0,8.6%
455,Sangrur,12,GEN,Punjab,Gurmeet Singh Meet Hayer,Aam Aadmi Party,1556601,1009665,64.9 %,172560.0,17.1%
456,Sant Kabir Nagar,62,GEN,Uttar Pradesh [2000 Onwards],Laxmikant Pappu Nishad,Samajwadi Party,2071964,1091202,52.7 %,92170.0,8.4%
457,Saran,20,GEN,Bihar [2000 Onwards],Rajiv Pratap Rudy,Bharatiya Janta Party,1795010,1021508,56.9 %,13661.0,1.3%
458,Sarguja,1,ST,Chhattisgarh,Chintamani Maharaj,Bharatiya Janta Party,1819347,1455269,80.0 %,64822.0,4.5%
459,Sasaram,34,SC,Bihar [2000 Onwards],Manoj Kumar,Indian National Congress,1910368,1097075,57.4 %,19157.0,1.7%
460,Satara,45,GEN,Maharashtra,Shrimant Chh Udayanraje Pratapsinhamaharaj Bhonsle,Bharatiya Janta Party,1889740,1198004,63.4 %,32771.0,2.7%
461,Satna,9,GEN,Madhya Pradesh [2000 Onwards],Ganesh Singh,Bharatiya Janta Party,1705260,1058972,62.1 %,84949.0,8.0%
462,Secundrabad,8,GEN,Telangana,G. Kishan Reddy,Bharatiya Janta Party,2120401,1047659,49.4 %,49944.0,4.8%
463,Shahdol,12,ST,Madhya Pradesh [2000 Onwards],Smt. Himadri Singh,Bharatiya Janta Party,1777185,1152013,64.8 %,397340.0,34.5%
464,Shahjahanpur,27,SC,Uttar Pradesh [2000 Onwards],Arun Kumar Sagar,Bharatiya Janta Party,2331834,1247902,53.5 %,55379.0,4.4%
465,Sheohar,4,GEN,Bihar [2000 Onwards],Lovely Anand,Janata Dal (United),1832745,1055602,57.6 %,29143.0,2.8%
466,Shillong,1,ST,Meghalaya,Dr. Ricky Andrew J. Syngkon,Voice Of The People Party,1400411,1037911,74.1 %,371910.0,35.8%
467,Shimla,4,SC,Himachal Pradesh,Suresh Kumar Kashyap,Bharatiya Janta Party,1346369,969965,72.0 %,91451.0,9.4%
468,Shimoga,14,GEN,Karnataka,B.Y.Raghavendra,Bharatiya Janta Party,1752885,1377224,78.6 %,243715.0,17.7%
469,Shirdi,38,SC,Maharashtra,Bhausaheb Rajaram Wakchaure,Shiv Sena (Uddhav Balasaheb Thackrey),1677335,1059864,63.2 %,50529.0,4.8%
470,Shirur,36,GEN,Maharashtra,Dr. Amol Ramsing Kolhe,Nationalist Congress Party – Sharadchandra Pawar,2539702,1374464,54.1 %,140951.0,10.3%
471,Shrawasti,58,GEN,Uttar Pradesh [2000 Onwards],Ram Shiromani Verma,Samajwadi Party,1980381,1046528,52.8 %,76673.0,7.3%
472,Sidhi,11,GEN,Madhya Pradesh [2000 Onwards],Dr. Rajesh Mishra,Bharatiya Janta Party,2028451,1147264,56.6 %,206416.0,18.0%
473,Sikar,5,GEN,Rajasthan,Amraram,Communist Party Of India (Marxist),2214900,1300856,58.7 %,72896.0,5.6%
474,Sikkim,1,GEN,Sikkim,Indra Hang Subba,Sikkim Krantikari Morcha,464140,384893,82.9 %,80830.0,21.0%
475,Silchar,8,GEN,Assam,Parimal Suklabaidya,Bharatiya Janta Party,1369578,1089426,79.5 %,264311.0,24.3%
476,Singhbhum,10,ST,Jharkhand,Joba Majhi,Jharkhand Mukti Morcha,1447562,1007597,69.6 %,168402.0,16.7%
477,Sirsa,3,SC,Haryana,Selja,Indian National Congress,1937689,1354632,69.9 %,268497.0,19.8%
478,Sitamarhi,5,GEN,Bihar [2000 Onwards],Devesh Chandra Thakur,Janata Dal (United),1947996,1093992,56.2 %,51356.0,4.7%
479,Sitapur,30,GEN,Uttar Pradesh [2000 Onwards],Rakesh Rathor,Indian National Congress,1759943,1102015,62.6 %,89641.0,8.1%
480,Sivaganga,31,GEN,Tamil Nadu,Karti P Chidambaram,Indian National Congress,1633857,1053419,64.5 %,205664.0,19.5%
481,Siwan,18,GEN,Bihar [2000 Onwards],Vijaylakshmi Devi,Janata Dal (United),1896512,998018,52.6 %,92857.0,9.3%
482,Solapur,42,SC,Maharashtra,Praniti Sushilkumar Shinde,Indian National Congress,2030119,1204485,59.3 %,74197.0,6.2%
483,Sonipat,6,GEN,Haryana,Satpal Brahamchari,Indian National Congress,1766624,1123944,63.6 %,21816.0,1.9%
484,Sonitpur,11,GEN,Assam,Ranjit Dutta,Bharatiya Janta Party,1633800,1288468,78.9 %,361408.0,28.0%
485,South Delhi,7,GEN,Delhi [1977 Onwards],Ramvir Singh Bidhuri,Bharatiya Janta Party,2291764,1295998,56.6 %,124333.0,9.6%
486,South Goa,2,GEN,Goa,Captain Viriato Fernandes,Indian National Congress,598767,450520,75.2 %,13535.0,3.0%
487,Srerampur,27,GEN,West Bengal,Kalyan Banerjee,All India Trinamool Congress,1926645,1476532,76.6 %,174830.0,11.8%
488,Srikakulam,2,,Andhra Pradesh [2014 Onwards],Kinjarapu Rammohan Naidu,Telugu Desam,1631174,1235686,75.8 %,327901.0,26.5%
489,Srinagar,2,,Jammu & Kashmir,Aga Syed Ruhullah Mehdi,Jammu & Kashmir National Conference,1747810,675242,38.6 %,188416.0,27.9%
490,Sriperumbudur,5,GEN,Tamil Nadu,T R Baalu,Dravida Munnetra Kazhagam,2382119,1440935,60.5 %,487029.0,33.8%
491,Sultanpur,38,GEN,Uttar Pradesh [2000 Onwards],Rambhual Nishad,Samajwadi Party,1852590,1033387,55.8 %,43174.0,4.2%
492,Sundargarh,2,ST,Orissa,Jual Oram,Bharatiya Janta Party,1576105,1155777,73.3 %,138808.0,12.0%
493,Supaul,8,GEN,Bihar [2000 Onwards],Dileshwar Kamait,Janata Dal (United),1927207,1231114,63.9 %,169803.0,13.8%
494,Surat,24,GEN,Gujarat,Mukeshkumar Chandrakaant Dalal ( Uncontested ),Bharatiya Janta Party,1606425,RU,,,
495,Surendranagar,9,GEN,Gujarat,Chandubhai Chhaganbhai Shihora,Bharatiya Janta Party,2033419,1131377,55.6 %,261617.0,23.1%
496,Tamluk,30,GEN,West Bengal,Abhijit Gangopadhyay,Bharatiya Janta Party,1850741,1577319,85.2 %,77733.0,4.9%
497,Tehri Garhwal,1,GEN,Uttarakhand,Mala Rajya Lakshmi Shah,Bharatiya Janta Party,1577664,862041,54.6 %,272493.0,31.6%
498,Tenkasi,37,SC,Tamil Nadu,Dr Rani Sri Kumar,Dravida Munnetra Kazhagam,1525439,1039119,68.1 %,196199.0,18.9%
499,Thane,25,GEN,Maharashtra,Naresh Ganpat Mhaske,Shiv Sena,2507372,1309068,52.2 %,217011.0,16.6%
500,Thanjavur,30,GEN,Tamil Nadu,Murasoli S,Dravida Munnetra Kazhagam,1501226,1028706,68.5 %,319583.0,31.1%
501,Theni,33,GEN,Tamil Nadu,Thanga Tamilselvan,Dravida Munnetra Kazhagam,1622949,1141219,70.3 %,278825.0,24.4%
502,Thiruvallur,1,SC,Tamil Nadu,Sasikanth Senthil,Indian National Congress,2085991,1417812,68.0 %,572155.0,40.4%
503,Thiruvananthapuram,20,GEN,Kerala,Shashi Tharoor,Indian National Congress,1430531,962983,67.3 %,16077.0,1.7%
504,Thoothukkudi,36,GEN,Tamil Nadu,Kanimozhi Karunanidhi,Dravida Munnetra Kazhagam,1458430,978526,67.1 %,392738.0,40.1%
505,Thrissur,10,GEN,Kerala,Suresh Gopi,Bharatiya Janta Party,1483055,1090876,73.6 %,74686.0,6.8%
506,Tikamgarh,6,SC,Madhya Pradesh [2000 Onwards],Dr. Virendra Kumar,Bharatiya Janta Party,1826585,1098390,60.1 %,403312.0,36.7%
507,Tiruchirappall,24,GEN,Tamil Nadu,Durai Vaiko,Marumalarchi Dravida Munnetra Kazhagam,1553985,1055964,68.0 %,313094.0,29.7%
508,Tirunelveli,38,GEN,Tamil Nadu,Robert Bruce C,Indian National Congress,1654503,1067448,64.5 %,165620.0,15.5%
509,Tirupati,23,SC,Andhra Pradesh [2014 Onwards],Gurumoorthy Maddila,Yuvajana Sramika Rythu Congress Party,1729832,1382570,79.9 %,14569.0,1.1%
510,Tiruppur,18,GEN,Tamil Nadu,"Subbarayan, K.",Communist Party Of India,1608521,1142549,71.0 %,125928.0,11.0%
511,Tiruvannamalai,11,GEN,Tamil Nadu,"Annadurai, C.N.",Dravida Munnetra Kazhagam,1533099,1146273,74.7 %,233931.0,20.4%
512,Tonk-Sawai Mad,12,GEN,Rajasthan,Harish Chandra Meena,Indian National Congress,2148128,1226584,57.1 %,64949.0,5.3%
513,Tripura East,2,ST,Tripura,Kriti Devi Debbarman,Bharatiya Janta Party,1396761,1134345,81.2 %,486819.0,42.9%
514,Tripura West,1,GEN,Tripura,Biplab Kumar Deb,Bharatiya Janta Party,1463526,1209809,82.7 %,611578.0,50.6%
515,Tumkur,19,GEN,Karnataka,V. Somanna,Bharatiya Janta Party,1661309,1303451,78.5 %,175594.0,13.5%
516,Tura,2,ST,Meghalaya,Saleng A Sangma,Indian National Congress,826156,674056,81.6 %,155241.0,23.0%
517,Udaipur,19,ST,Rajasthan,Manna Lal Rawat,Bharatiya Janta Party,2230971,1498376,67.2 %,261608.0,17.5%
518,Udhampur,4,,Jammu & Kashmir,Dr Jitendra Singh,Bharatiya Janta Party,1623195,1113727,68.6 %,124373.0,11.2%
519,Udupi Chikmaga,15,GEN,Karnataka,Kota Srinivas Poojary,Bharatiya Janta Party,1585162,1229418,77.6 %,259175.0,21.1%
520,Ujiarpur,22,GEN,Bihar [2000 Onwards],Nityanand Rai,Bharatiya Janta Party,1745408,1042068,59.7 %,60102.0,5.8%
521,Ujjain,22,SC,Madhya Pradesh [2000 Onwards],Anil Firojiya,Bharatiya Janta Party,1798704,1328580,73.7 %,375860.0,28.3%
522,Uluberia,26,GEN,West Bengal,Sajda Ahmed,All India Trinamool Congress,1741438,1390794,79.9 %,218673.0,15.7%
523,Unnao,33,GEN,Uttar Pradesh [2000 Onwards],Swami Sachchidanand Hari Sakshi,Bharatiya Janta Party,2341740,1302271,55.6 %,35818.0,2.8%
524,Uttara Kannada,12,GEN,Karnataka,Vishweshwar Hegde Kageri,Bharatiya Janta Party,1641156,1262761,76.9 %,337428.0,26.7%
525,Vadakara,3,GEN,Kerala,Shafi Parambil,Indian National Congress,1421883,1122947,79.0 %,114506.0,10.2%
526,Vadodara,20,GEN,Gujarat,Dr. Hemang Joshi,Bharatiya Janta Party,1949573,1212149,62.2 %,582126.0,48.0%
527,Vaishali,16,GEN,Bihar [2000 Onwards],Veena Devi,Lok Janshakti Party(Ram Vilas),1869178,1172060,62.7 %,89634.0,7.6%
528,Valmiki Nagar,1,GEN,Bihar [2000 Onwards],Sunil Kumar,Janata Dal (United),1827281,1101830,60.3 %,98675.0,9.0%
529,Valsad,26,ST,Gujarat,Dhaval Laxmanbhai Patel,Bharatiya Janta Party,1859974,1361411,73.2 %,210704.0,15.5%
530,Varanasi,77,GEN,Uttar Pradesh [2000 Onwards],Narendra Modi,Bharatiya Janta Party,1997578,1130143,56.6 %,152513.0,13.5%
531,Vellore,8,GEN,Tamil Nadu,Dm Kathir Anand,Dravida Munnetra Kazhagam,1528273,1129458,73.9 %,215702.0,19.1%
532,Vidisha,18,GEN,Madhya Pradesh [2000 Onwards],Shivraj Singh Chouhan,Bharatiya Janta Party,1945404,1455658,74.8 %,821408.0,56.4%
533,Vijayawada,12,,Andhra Pradesh [2014 Onwards],Kesineni Sivanath (CHINNI),Telugu Desam,1704077,1364405,80.1 %,282085.0,20.7%
534,Viluppuram,13,SC,Tamil Nadu,Ravikumar. D,Viduthalai Chiruthaigal Katchi,1503115,1152667,76.7 %,70703.0,6.1%
535,Virudhunagar,34,GEN,Tamil Nadu,Manickam Tagore B,Indian National Congress,1501942,1061901,70.7 %,4379.0,0.4%
536,Visakhapatnam,4,,Andhra Pradesh [2014 Onwards],Sribharat Mathukumili,Telugu Desam,1927303,1387125,72.0 %,504247.0,36.4%
537,Vizianagaram,3,,Andhra Pradesh [2014 Onwards],Appalanaidu Kalisetti,Telugu Desam,1585206,1299242,82.0 %,249351.0,19.2%
538,Warangal,15,SC,Telangana,Kadiyam Kavya,Indian National Congress,1824466,1267946,69.5 %,220339.0,17.4%
539,Wardha,8,GEN,Maharashtra,Amar Sharadrao Kale,Nationalist Congress Party – Sharadchandra Pawar,1682771,1095012,65.1 %,81648.0,7.5%
540,Wayanad,4,GEN,Kerala,Rahul Gandhi,Indian National Congress,1462423,1084653,74.2 %,364422.0,33.6%
541,West Delhi,6,GEN,Delhi [1977 Onwards],Kamaljeet Sehrawat,Bharatiya Janta Party,2587977,1524494,58.9 %,199013.0,13.1%
542,Yavatmal-Washi,14,GEN,Maharashtra,Sanjay Uttamrao Deshmukh,Shiv Sena (Uddhav Balasaheb Thackrey),1940916,1225530,63.1 %,94473.0,7.7%
543,Zahirabad,5,GEN,Telangana,Suresh Kumar Shetkar,Indian National Congress,1641410,1236593,75.3 %,46188.0,3.7%
